Name,flt,lds,alds,strpk,nrg,flu,entr,danc,bpm,ptch,mfcc1,mfcc2,mfcc3,mfcc4
abrazame amor --luis miguel del amargue.wmv-3KRvq-oviBU-recortado.wav,0.5643976218709482,0.7297970965509244,0.5012768720044661,0.5652488799110273,-0.4434471756232989,-0.486784121065689,0.3434836208730242,0.26216442407788915,-0.07794306836521646,0.931179505962177,0.3662486630375167,0.5187070394556557,1.206497259999933,0.5967087595646233
Alex bueno - Ven salvame-CVoy7BD13wk-recortado.wav,0.7129293883867865,0.17651833174205495,0.08226322663781589,0.32021138179019043,0.9600343898054924,0.08102844511353179,0.38283793794792703,0.5199484059264293,-0.35679320269537435,-0.8632578004746664,0.425429474890138,0.5817299085716359,0.5045506652595116,0.5592331949564312
Alex bueno paso a paso-EWSW42MEFHY-recortado.wav,0.5810078631575574,0.7295113144739129,0.8695537042456779,0.430788387683041,-0.2580460096362193,0.08364644907967227,0.4781881933011611,0.5403442412486325,-0.15505224443387827,-0.7620845138903816,0.4265576743584799,0.3565387026468151,1.8586093479828125,0.5813503866064863
Alex bueno yo me ire-m323nTEkKLo-recortado.wav,0.5340603951125589,0.0063103612839740565,0.6308785288994309,0.3642280518142305,0.1772060797845539,0.1864719462216539,0.4720158478481048,0.5233397087389793,-0.04816420706281953,-0.7785566819787966,0.3462433919582544,0.4662738139249183,1.5232742416046678,0.4142316838067689
alex bueno.     perdoname-Q4xtShkpyTc-recortado.wav,0.8330473619308227,-0.7944973965544062,0.24032180446096849,0.5763470630925217,-0.7476645484295438,-0.6732563997740126,0.32186258050663313,0.46611028069591043,-0.36060965675089796,-1.9519936782066645,0.1695173098604605,0.39093126224835867,0.3352980545192705,0.9434460044297462
Alex Bueno...........PIDEME-hl-WSSvyC2E-recortado.wav,0.51163707224367,-0.043223212334309036,0.8360426666636368,0.22111286893092652,0.46096418568696007,0.26355591598650224,0.5826193346102722,0.7194465539000269,-0.3549126410317165,-1.767655480653351,0.44347691652910015,0.30686305593086743,0.12835433734042664,0.8802333102488805
Amigos Con Derechos - Mr Don & Johandy Ft  Dj Khalid (Version Bachata)-Nq5g0HejOjU-recortado.wav,0.42611503466229794,0.42140947588121885,0.7623546736621,0.6438921507928027,0.32437280422444664,0.27194533651148284,0.3848187073880734,0.5064446937117103,-0.9861744297489938,0.6422225278000884,0.5013954462780389,0.7084785884974666,0.016537489449509734,0.23315128646730468
Amor a Medio Tiempo _ Yoskar Sarante _ Bachata 2017-6rPRf2JSLI0-recortado.wav,0.6205644829468208,-0.38667341789587734,0.7654305401501855,0.5653528832953111,1.1291440795913423,1.1016750255958194,0.3771463564903763,0.5371377307378953,1.2707878329034403,-1.2480149965140623,0.4945960479371264,0.32339749389013495,1.8281043976676812,0.39653547307908055
Amor de Madre-aDcpuSE8Atg-recortado.wav,0.6752052488616163,-0.002537223816466927,0.35885965711805284,0.4823041436937977,-0.36300248695281323,-0.6895223662305104,0.2243148580119943,0.3762005603937463,-0.1438983210321218,-0.14014967743590778,0.20363297939267444,0.5920184386047844,2.1969373118878845,0.2952076183975339
Ana Victoria - Si Mañana No Me Ves (Versión Bachata) [Video Oficial]-PV8rhPutSrw-recortado.wav,0.480736851926574,0.5148324918706252,0.5716923002306981,0.41974672958125203,0.5807995103074473,0.487293626601848,0.5186091204181879,0.47275719484912565,-0.24022809419892122,0.4024363826201857,0.565237225930609,0.5241894985795659,1.5618756646347651,0.34669687687943235
Andy Andy - Que Ironía-WyLHsKBLB9Y-recortado.wav,0.6671490114549439,1.0504795648184746,0.5012768720044661,0.6080356374035915,-1.1471271833553345,-1.1600068379840425,0.24074059821404334,0.41896758005779394,-0.020884450317811085,-0.0041063088107834485,0.16201486447392413,0.6086737094045042,1.4329406715775035,0.327367486756324
Andy Andy - Un Hombre Nuevo (Video Oficial)--Lt7Ugsca9I-recortado.wav,0.42348459757305534,0.8309336376669911,0.45088415358343564,0.43813457626417696,-0.883327547454768,-0.4593471330377322,0.493210843110891,0.40189672698827833,-0.23819554380654356,-0.3211740558956039,0.41715141770597164,0.5377522684842416,-0.6960356236465316,0.6665267824945271
Anna Carina - Amándote (feat. Jandy Feliz)-xjTZdM2RRuY-recortado.wav,0.4261811363008411,1.4108900168624803,0.9104734792329905,0.5693414752360123,0.5133029138552611,0.6116039722674427,0.4635406809692379,0.6574786497727811,-0.23440231499496036,-0.2999079449535811,0.609745769239325,0.5453116667495781,-0.06303734147241487,0.47612574350283654
Anna Carina - No me arrepiento [Versión Bachata] (Sola) - Video Letra-IC1NcbyX0Z8-recortado.wav,0.4350096040956112,1.133124217794576,0.9439222503417616,0.4373548271194568,1.4125522896800402,1.399275691283989,0.47064760331729455,0.9315190406641589,-0.21338961708875584,-1.5177687709844596,0.628830349690655,0.5389899072865678,0.046370263961846285,0.28225119802008936
Anthony Santos - Creiste (Nueva Bachata 2014)-KrFeOqjbZls-recortado.wav,0.7610881124765364,1.1753235817537815,0.720122924624753,0.5145564840258509,0.19512845600563428,0.2680735389433839,0.18833786717052403,0.7048000420083905,0.1666914999747628,-0.2523928023058808,0.2734410816019522,0.795643213436441,1.3069853438117878,0.6063604241567878
Anthony Santos - Porque Me Haces Llorar-c_qKRXqziV4-recortado.wav,0.7879661173237273,-0.16850639574335496,0.5396688476115814,0.3959586142113858,-0.582334395449489,-0.141130080461818,0.26558134173719783,0.5999576671023051,-0.3208155920951696,-0.3626967699762971,0.1997860340621582,0.7796480795417196,-0.06965771298343663,0.44612992975067756
